id,title,company,location,date_posted,deadline,url,source,education,experience,summary
4-096/2026,ע' בכיר לשירותים רפואיים,אגף השיקום,באר שבע,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24406,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-102/2026,ראש תחום למענים סוציאליים,אגף השיקום,פתח תקוה,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24412,mod,אקדמית- תואר ראשון בעבודה סוציאלית רישום בפנקס העובדים הסוציאליים תואר שני – יתרון,"ניסיון של שנתיים בעבודה סוציאלית, בעדיפות לתחום השיקום לבעלי/ות תואר שני תופחת שנת ניסיון אחת רצוי ניסיון בעבודה שיקומית / עם אוכלוסיות במצבי טראומה או משבר","אחריות לריכוז העבודה המקצועית להוביל ולקדם תכניות התערבות והתקשרויות בתחום הטיפול והמענים השיקומיים לנכי צה""ל."
4-099/2026,ע' בכיר לרווחה- יתומים,"משפחות, הנצחה ומורשת",טבריה,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24416,mod,השכלה אקדמית (תואר ראשון).,"שנתיים ניסיון בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד, או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת",אחריות על מתן שירותי הרווחה וניהול מעקב אחר ביצוע מימוש הזכאות של אוכלוסיית יתומים ואוכלוסיות ייחודיות נוספות. מעורבות במצבים חריגים בהתאם לסמכויות.
4-100/2026,עובד סוציאלי,אגף השיקום,באר שבע,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24418,mod,אקדמאית (תואר ראשון) בעבודה סוציאלית. רישום בפנקס העובדים הסוציאליים.,רצוי ניסיון בעבודה סוציאלית.,"נשיאה באחריות למתן שירות טיפולי שיקומי בתחום האזור הגיאוגרפי המוגדר. נשיאה באחריות על ניהול, ארגון וקידום נושא מקצועי בתחום השיקום במחוז."
4-107/2026,ר' תחום ניתוח מערכות,דיגיטל וטכנולוגיית המידע,תל אביב-יפו,2026-05-14,2026-05-28,https://jobs.mod.gov.il/#/Tenders?TenderId=24425,mod,אקדמאית (תואר ראשון) /הנדסאי/ת או טכנאי/ת.,"ניסיון של 3 שנים לאקדמאי/ת, 4 שנים להנדסאי/ת ו- 5 שנים לטכנאי/ת, בתחום התכנות/ניתוח מערכות. לבעלי/ות תואר שני תופחת שנת ניסיון אחת. רצויה הכרת 2 שפות לפחות בתכנות בתקשוב (C#,.NET ,ABAP P.L.1 JAVA SCRIPT).","נשיאה באחריות על ניתוח המערכות המופעלות/הנדרשות במשרד, בהתאם להנחיות הממונה ולנהלים ."
4-106/2026,ראש תחום פעילות בק אופיס,אגף השיקום,פתח תקוה,2026-05-05,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24421,mod,השכלה אקדמית (תואר ראשון),3 שנות ניסיון בפעילות בק אופיס בתחום שירות לקוחות. רצוי ניסיון בתפקידי ניהול. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על הפעילות של הבק אופיס המבוצעת על ידי ספק מיקור חוץ מטעם אגף שיקום.
4-101/2026,ע' בכיר לשירותים רפואיים,אגף השיקום,רחובות,2026-05-05,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24417,mod,אקדמאית (תואר ראשון),2 שנות ניסיון בתחום העיסוק של המשרה כמתואר בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת.,אחריות על טיפול בנושאים בתחום הרווחה/ שירותים הרפואיים של אוכלוסיית הזכאים.
4-097/2026,"מנמ""ח פרויקטי אנדרטאות ארצי","משפחות, הנצחה ומורשת",תל השומר,2026-05-05,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24407,mod,אקדמית (תואר ראשון) או הנדסאי/ת או טכנאי/ת.,"לבעל/ת תואר ראשון נדרש ניסיון של שנתיים, להנדסאי/ת 3 שנים, ולטכנאי/ת 4 שנים בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד, או בתחומים בהם קיימת זיקה למטלות אלה. לבעלי/ות תואר שני תופחת שנת ניסיון אחת",ליווי וטיפול בפרויקטי שיפוץ והקמה של אנדרטאות בכל הארץ בהתאם להנחיות הממונה.
4-098/2026,אחראי חוליית אחזקה-דרום,"משפחות, הנצחה ומורשת",באר שבע,2026-05-05,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24348,mod,תיכונית. רצוי אקדמית (תואר ראשון). בעל רישיון נהיגה. יתרון לבעלי רישיון ג' (*).,"ניסיון של 3 שנים לתיכונית ו- 1 שנה לאקדמאי/ת, בתחום העיסוק של המשרה כמתואר בפירוט המטלות בתיאור התפקיד או בתחומים בהם קיימת זיקה למטלות אלה. בעלי/ות תואר שני לא נדרשים לניסיון.","אחריות לטיפול ואחזקה של מערך בתי הקברות הצבאיים והחלקות הצבאיות, באיזור הגיאוגרפי , עפ""י הנחיית הממונה."
4-103/2026,ע' לניהול,אגף ביטחון,תל אביב-יפו,2026-05-05,2026-05-19,https://jobs.mod.gov.il/#/Tenders?TenderId=24357,mod,תיכונית. רצוי אקדמית.,"ניסיון של 2 שנים לפחות לתיכונית ורצוי ניסיון לאקדמאי/ת בארגון ו/או בניהול משרד או לשכה,רצוי בכירה.",אחריות לניהול הפעילות השוטפת של לשכת ר' האגף ומעקב אחר ביצוע החלטות וסיכומים.
