title,company,location,date,url,department,workplace_type,source
מנהל/ת מותג של החטיבה המקצועית של אסם נסטלה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/402301,,,osem
יועצ/ת תזונה למרכז ליעוץ תזונתי של חברת מטרנה אסם נסטלה,Osem-Nestlé,Maabarot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/402302,,,osem
סטודנט/ית לשיווק לקבוצת אסם סחר,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/402158,,,osem
מהנדס/ת פיתוח אריזות למטה התפעול של אסם נסטלה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/402127,,,osem
נציג/ת שירות לקוחות למוקד הצרכנים,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/401153,,,osem
נציג/ת בק אופיס למרכז השירות עבור צוות המתמחה בניהול תהליכי שרשרת אספקה,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/401157,,,osem
נציג/ת תפעול מוצרים למרכז השירות בקרית גת אסם נסטלה,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/401083,,,osem
מבקר/ת איכות עסיס קבוצת אסם נסטלה,Osem-Nestlé,Kibbutz Beit HaShita,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/400609,,,osem
מחסנאי/ת למערך ההפצה בבאר שבע,Osem-Nestlé,Beer Sheva,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/400607,,,osem
מחסנאי/ת טכני בונז'ור,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/400438,,,osem
מנהל/ת תחום לעולם תיבול ותוספות ONP,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/400168,,,osem
עוזר/ת חשב ראשי זמני/ת,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/400160,,,osem
מנהל/ת הבטחת איכות שדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/399857,,,osem
מנהל/ת מערכות איכות זמני/ת אתר אסם נסטלה בשדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/398773,,,osem
חשמלאי/ת עבור מחלקת תשתיות במפעל אסם נסטלה בשדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/398772,,,osem
סטודנט/ית למחלקת שרשרת אספקה מפעל אסם שדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/398622,,,osem
אחראי/ת ציוד ונכסים לקפה אסם נסטלה פרופשיונאל,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/397718,,,osem
מנהל/ת trade assets נסטלה פרופשיונאל אסם נסטלה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/397643,,,osem
מכונאי/ת אחזקה מפעל אסם יקנעם,Osem-Nestlé,Yokneam,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/394320,,,osem
מנהל/ת תחום תזונה קבוצת אסם-נסטלה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/393319,,,osem
"מזכיר/ה ללשכת מנכ""ל קבוצת אסם נסטלה",Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/394386,,,osem
אחראי/ת אפליקציה מסחרית ושיווקית אסם סחר,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/393855,,,osem
מכונאי/ת שדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/368271,,,osem
חשמלאי/ת מוסמכ/ת מפעל אסם נסטלה בשדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/392492,,,osem
מלגזנ/ית משמרת בוקר במפעל מטרנה אסם נסטלה,Osem-Nestlé,Maabarot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/392007,,,osem
מתכנן/ת ייצור בונז'ור,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/389851,,,osem
סטודנט/ית שיווק לתפקיד מנהל/ת מותג ג'וניור בקטגוריית החטיפים,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/390146,,,osem
מנהל/ת לוגיסטיקה ומחסנים אתר קרית גת,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/389178,,,osem
מכונאי/ת טבעול צבר,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/388704,,,osem
מלגזן/ית מחסנאי/ת צבר,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/388703,,,osem
מפעיל/ה קו טבעול צבר,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/388700,,,osem
Data Analyst Osem Nestle,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/388106,,,osem
מנהל/ת  משמרת צבר טבעול קרית גת,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/385812,,,osem
נציג/ת שירות ומכירה למערך השירות בחברת נספרסו,Osem-Nestlé,Petah Tikva,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/384487,,,osem
טכנולוג/ית איכות למחלקת חטיפים אתר אסם נסטלה בשדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/384070,,,osem
מומחה/ית קפה לבוטיק ראשון לציון בחברת נספרסו,Osem-Nestlé,Rishon LeZion,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/367924,,,osem
נציג/ה למרכז המכירות של אסם סחר,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/382719,,,osem
ראש צוות מרכז המכירות של אסם סחר בקרית גת,Osem-Nestlé,Kiryat Gat,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/382985,,,osem
מלגזן/ית לוגיסטיקה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/382856,,,osem
מנהל/ת צובר לוגיסטיקה,Osem-Nestlé,Hevel Modiin,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/382648,,,osem
חשמלאי/ת ראשי/ת שדרות,Osem-Nestlé,Sderot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/374986,,,osem
מפעיל/ה קו מטרנה,Osem-Nestlé,Maabarot,2026-05-16,https://www.osem-nestle.co.il/career/open-positions/359705,,,osem
